ei	numCTs	pathway_name	gene_symbol	numVariantsAssociatedToGene	gp_class_names	pli	geneDescription	year_initial	year_final	num_pmids_evid	numDiseasesAssociatedToGene	num_pmid_assoc	pathway_id	score	gene_ncbi	gene_ensembl	gene_type	number_chem_evidence	genep_str_ids	dsi	dpi	num_var_dis
1.0	0		PTPRR	16		0.006	protein tyrosine phosphatase receptor type R	2012	2012	0	2	1		0.6	5801	ENSG00000153233	protein-coding	0	Q15256	0.65	0.61	0
1.0	0	Developmental Biology,Signal Transduction,Cell Cycle,Disease,Immune System,Chromatin organization,Gene expression (Transcription)	CCND1	18	Enzyme modulator	0.71899	cyclin D1	2008	2008	0	70	1	R-HSA-1266738,R-HSA-162582,R-HSA-1640170,R-HSA-1643685,R-HSA-168256,R-HSA-4839726,R-HSA-74160	0.6	595	ENSG00000110092	protein-coding	0	P24385	0.32	0.91	0
1.0	0	Signal Transduction,Disease	BCR	6	Enzyme modulator	5.9807E-6	BCR activator of RhoGEF and GTPase	2005	2005	0	14	1	R-HSA-162582,R-HSA-1643685	0.6	613	ENSG00000186716	protein-coding	0	P11274	0.44	0.91	0
1.0	0	Signal Transduction	ADRA1A	1	G-protein coupled receptor	3.5799E-11	adrenoceptor alpha 1A	2010	2010	1	15	1	R-HSA-162582	0.6	148	ENSG00000120907	protein-coding	1	P35348	0.51	0.87	0
1.0	0	Immune System,Gene expression (Transcription)	CTLA4	98		0.99828	cytotoxic T-lymphocyte associated protein 4	2011	2011	0	81	1	R-HSA-168256,R-HSA-74160	0.6	1493	ENSG00000163599	protein-coding	0	P16410	0.34	0.91	0
1.0	0	Metabolism	DDC	206		7.6141E-10	dopa decarboxylase	2010	2010	0	19	1	R-HSA-1430728	0.6	1644	ENSG00000132437	protein-coding	0	P20711	0.48	0.91	0
0.5	0	Neuronal System,Metabolism,Signal Transduction	PLCB1	383	Enzyme	1.0	phospholipase C beta 1	2012	2012	0	14	1	R-HSA-112316,R-HSA-1430728,R-HSA-162582	0.6	23236	ENSG00000182621	protein-coding	0	Q9NQ66	0.51	0.87	0
1.0	0	Disease	QKI	6	Nucleic acid binding	0.99608	QKI, KH domain containing RNA binding	2009	2009	0	8	1	R-HSA-1643685	0.6	9444	ENSG00000112531	protein-coding	0	Q96PU8	0.56	0.7	0
0.8	0	Neuronal System	HOMER1	0		1.0	homer scaffold protein 1	2010	2010	0	8	1	R-HSA-112316	0.6	9456	ENSG00000152413	protein-coding	0	Q86YM7	0.59	0.61	0
1.0	0	Signal Transduction,Disease,Immune System,Metabolism of proteins,Cellular responses to stimuli	IKBKE	5	Kinase	2.1156E-5	inhibitor of nuclear factor kappa B kinase subunit epsilon	2010	2010	0	2	1	R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-8953897	0.6	9641	ENSG00000263528	protein-coding	0	Q14164	0.59	0.78	0
0.8	0	Neuronal System,Gene expression (Transcription)	GRIA2	31	Ion channel	1.0	glutamate ionotropic receptor AMPA type subunit 2	2012	2012	0	12	1	R-HSA-112316,R-HSA-74160	0.6	2891	ENSG00000120251	protein-coding	0	P42262	0.52	0.91	0
1.0	0	Metabolism of proteins,Gene expression (Transcription)	NR4A2	48	Nuclear receptor	1.0	nuclear receptor subfamily 4 group A member 2	2006	2006	0	28	1	R-HSA-392499,R-HSA-74160	0.6	4929	ENSG00000153234	protein-coding	0	P43354	0.46	0.96	0
0.5	0	Developmental Biology,Metabolism,Signal Transduction,Cell Cycle,Disease,Immune System,Transport of small molecules,Metabolism of proteins,Programmed Cell Death,DNA Replication,Gene expression (Transcription),Metabolism of RNA,Cellular responses to stimuli	PSMB4	6		0.12643	proteasome 20S subunit beta 4	2008	2008	0	5	1	R-HSA-1266738,R-HSA-1430728,R-HSA-162582,R-HSA-1640170,R-HSA-1643685,R-HSA-168256,R-HSA-382551,R-HSA-392499,R-HSA-5357801,R-HSA-69306,R-HSA-74160,R-HSA-8953854,R-HSA-8953897	0.6	5692	ENSG00000159377	protein-coding	0	P28070	0.61	0.87	0
1.0	0		RAPH1	7	Receptor	0.99999	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	2014	2014	0	4	1		0.6	65059	ENSG00000173166	protein-coding	0	Q70E73	0.66	0.61	0
1.0	0	Developmental Biology,Signal Transduction,Disease,Vesicle-mediated transport,Gene expression (Transcription)	EGFR	338	Kinase	0.98131	epidermal growth factor receptor	2011	2011	0	97	1	R-HSA-1266738,R-HSA-162582,R-HSA-1643685,R-HSA-5653656,R-HSA-74160	0.6	1956	ENSG00000146648	protein-coding	0	P00533	0.27	0.91	0
1.0	0	Developmental Biology,Signal Transduction,Gene expression (Transcription)	SOX9	98		1.0	SRY-box transcription factor 9	2015	2015	0	32	1	R-HSA-1266738,R-HSA-162582,R-HSA-74160	0.6	6662	ENSG00000125398	protein-coding	0	P48436	0.4	0.91	0
1.0	0		MYT1L	65	Transcription factor	1.0	myelin transcription factor 1 like	2010	2010	0	12	1		0.6	23040	ENSG00000186487	protein-coding	0	Q9UL68	0.5	0.87	0
1.0	0	Developmental Biology,Signal Transduction,Cell Cycle	TERT	899	Enzyme	0.0018566	telomerase reverse transcriptase	2014	2014	0	98	1	R-HSA-1266738,R-HSA-162582,R-HSA-1640170	0.6	7015	ENSG00000164362	protein-coding	0	O14746	0.33	0.96	0
1.0	0	Neuronal System,Signal Transduction	GABBR2	156	G-protein coupled receptor	0.99997	gamma-aminobutyric acid type B receptor subunit 2	2013	2013	0	16	1	R-HSA-112316,R-HSA-162582	0.6	9568	ENSG00000136928	protein-coding	0	O75899	0.51	0.83	0
1.0	0		FOXP2	145		1.0	forkhead box P2	2013	2013	0	21	1		0.55	93986	ENSG00000128573	protein-coding	0	O15409	0.48	0.91	3
1.0	0		RAPGEF5	6	Enzyme modulator	3.2315E-10	Rap guanine nucleotide exchange factor 5	2010	2010	0	5	1		0.55	9771	ENSG00000136237	protein-coding	0	Q92565	0.51	0.87	1
1.0	0	Signal Transduction,Immune System	RNF41	1		0.99995	ring finger protein 41	2009	2009	0	4	1	R-HSA-162582,R-HSA-168256	0.55	10193	ENSG00000181852	protein-coding	0	Q9H4P4	0.63	0.74	0
1.0	0		NPAS3	29	Transcription factor		neuronal PAS domain protein 3	2010	2010	0	6	1		0.55	64067	ENSG00000151322	protein-coding	0	Q8IXF0	0.61	0.83	2
1.0	0	Signal Transduction	GALR2	0	G-protein coupled receptor	0.011805	galanin receptor 2	2011	2011	0	5	1	R-HSA-162582	0.55	8811	ENSG00000182687	protein-coding	0	O43603	0.62	0.83	0
1.0	0	Signal Transduction	GMIP	2		5.5297E-8	GEM interacting protein	2005	2005	0	2	1	R-HSA-162582	0.55	51291	ENSG00000089639	protein-coding	0	Q9P107	0.67	0.44	1
1.0	0	Metabolism,Metabolism of proteins	NDUFV1	83		2.6827E-13	NADH:ubiquinone oxidoreductase core subunit V1	2008	2008	0	9	1	R-HSA-1430728,R-HSA-392499	0.5	4723	ENSG00000167792	protein-coding	0	P49821	0.58	0.7	0
